timestamp	sai2::realsense::left_hand	sai2::realsense::right_hand	sai2::realsense::center_hips
2024-08-06 15:16:45.863264	[0.2209105  0.82297635 1.24600749]	[0.38670524 0.92429095 3.44292107]	[0.25522073 0.77654403 0.70393503]
2024-08-06 15:16:46.065449	[0.2723066  0.71725433 2.57784704]	[0.3884958  0.92858528 3.84892072]	[0.38065585 0.81272356 0.68106081]
2024-08-06 15:16:46.216862	[0.29484239 0.69224583 3.20710775]	[0.38518166 0.93537325 5.16654783]	[0.37529155 0.82641154 0.6626837 ]
2024-08-06 15:16:46.368173	[0.33085263 0.65679749 4.2618647 ]	[0.373257   0.92084041 4.07444009]	[0.36993645 0.84511552 0.63422203]
2024-08-06 15:16:46.519188	[0.42215402 0.58743054 6.37445614]	[0.3439499  0.88929214 3.00784784]	[0.36439224 0.86444022 0.61394975]
2024-08-06 15:16:46.670283	[0.52597272 0.12919315 8.512     ]	[0.34845555 0.90036494 3.27417897]	[0.36177587 0.87369615 0.61399072]
2024-08-06 15:16:47.124679	[0.24427412 0.7585938  0.61333333]	[0.31678362 0.87004199 0.58993874]	[0.35462305 0.9080292  2.70482099]
2024-08-06 15:16:47.326875	[0.24327874 0.74614855 0.61449123]	[0.31879446 0.87067413 1.26769833]	[0.35539235 0.91824465 3.95562039]
2024-08-06 15:16:47.579896	[0.24172923 0.74779961 0.61391267]	[0.34075414 0.88784169 2.31961667]	[0.35832772 0.92782761 5.3055335 ]
2024-08-06 15:16:47.782233	[0.23829808 0.73743271 0.61539149]	[0.34731415 0.89561356 3.52219273]	[0.35994871 0.93546699 6.8398781 ]
2024-08-06 15:16:47.934150	[0.23570345 0.73431962 0.61527536]	[0.3513289  0.8973785  4.84633044]	[0.36355132 0.93644399 6.88071842]
2024-08-06 15:16:48.186415	[0.23159819 0.72585566 0.61552675]	[0.35996638 0.90365016 5.32540535]	[0.36795702 0.92894213 6.86658353]
2024-08-06 15:16:48.387935	[0.22635568 0.72689572 0.61423493]	[0.36277889 0.91108452 5.72277456]	[0.36884734 0.92315797 6.8630566 ]
2024-08-06 15:16:48.539151	[0.22189223 0.7195317  0.61426131]	[0.37183616 0.9122988  5.76193668]	[0.36751416 0.91484277 7.02891673]
2024-08-06 15:16:48.740388	[0.2208566  0.72508889 0.61229659]	[0.36773977 0.90360697 5.81040512]	[0.36760239 0.90825084 7.21816073]
2024-08-06 15:16:48.992737	[0.22092286 0.72655942 0.61187303]	[0.37124123 0.90866859 5.86577211]	[0.36656066 0.9099727  7.42994501]
2024-08-06 15:16:49.194300	[0.21996237 0.72538284 0.6118819 ]	[0.37525814 0.91794276 7.51716559]	[0.36761764 0.90489464 7.51716559]
2024-08-06 15:16:49.345527	[0.22125389 0.72095939 0.61309105]	[0.37525003 0.91387806 7.62150639]	[0.36896357 0.90644162 7.62150639]
2024-08-06 15:16:49.496931	[0.22333475 0.72039845 0.61397373]	[0.37731754 0.91785736 7.51344353]	[0.3727819  0.90709739 7.51344353]
2024-08-06 15:16:49.648414	[0.22336851 0.71864579 0.61444887]	[0.3764347  0.91519186 7.2888454 ]	[0.37273646 0.90828452 7.2888454 ]
2024-08-06 15:16:49.900464	[0.22293249 0.71615839 0.61482061]	[0.37587448 0.91493552 7.08839882]	[0.37581795 0.90979111 7.08839882]
2024-08-06 15:16:50.051524	[0.22319995 0.71510282 0.61502119]	[0.37575341 0.90820945 6.02456536]	[0.3771083  0.91246057 7.0407612 ]
2024-08-06 15:16:50.253461	[0.22286129 0.71133399 0.61537181]	[0.37552717 0.90864859 5.99903153]	[0.37610058 0.91044393 7.12813802]
2024-08-06 15:16:50.456259	[0.22051459 0.71173246 0.6142161 ]	[0.37583426 0.91834554 5.87960138]	[0.37390586 0.91118891 7.13416415]
2024-08-06 15:16:50.708352	[0.22045683 0.71644399 0.61286221]	[0.37790516 0.92407187 5.7608758 ]	[0.37446038 0.91651189 7.15483444]
2024-08-06 15:16:50.960947	[0.22238596 0.7218223  0.61180982]	[0.37869413 0.92243211 5.68557553]	[0.37558996 0.92074034 7.23441845]
2024-08-06 15:16:51.163148	[0.22360488 0.72530273 0.61118403]	[0.38025948 0.93320005 7.34504273]	[0.37382759 0.91838154 7.34504273]
2024-08-06 15:16:51.365312	[0.22611643 0.72862826 0.61081515]	[0.38173271 0.93535734 7.30848692]	[0.37515341 0.91725472 7.30848692]
2024-08-06 15:16:51.617924	[0.2291555  0.72917757 0.61122357]	[0.37767111 0.92128944 7.33380274]	[0.37352732 0.91347051 7.33380274]
2024-08-06 15:16:51.820310	[0.23173969 0.72471312 0.61253614]	[0.37476828 0.91102967 7.38382149]	[0.37509259 0.91155761 7.38382149]
2024-08-06 15:16:52.072236	[0.23048243 0.7192212  0.61301089]	[0.37585196 0.91399208 7.43182403]	[0.37366515 0.90850022 7.43182403]
2024-08-06 15:16:52.375938	[0.23009785 0.72338603 0.61156156]	[0.37393863 0.90784841 7.45236583]	[0.37485196 0.91282816 7.45236583]
2024-08-06 15:16:52.578637	[0.22945756 0.71862669 0.61254391]	[0.37399649 0.91064145 7.36837752]	[0.37483638 0.91546738 7.36837752]
2024-08-06 15:16:52.831898	[0.22928506 0.71370767 0.61344676]	[0.37760717 0.91374335 7.39979019]	[0.37559627 0.9126198  7.39979019]
2024-08-06 15:16:53.033837	[0.23037659 0.71801441 0.61297442]	[0.37879871 0.91264665 6.30380933]	[0.37481871 0.91288665 7.40315721]
2024-08-06 15:16:53.236211	[0.23205243 0.72272208 0.6125472 ]	[0.37655784 0.90641912 5.44055894]	[0.37451104 0.90858897 6.66205658]
2024-08-06 15:16:53.489241	[0.23378504 0.71971735 0.61371398]	[0.37546781 0.90104188 4.11852619]	[0.37445784 0.89546531 5.47590601]
2024-08-06 15:16:53.741644	[0.23333928 0.72790166 0.61125745]	[0.37436534 0.8899785  3.7489925 ]	[0.3730058  0.89512475 5.2571923 ]
2024-08-06 15:16:54.043800	[0.23345118 0.73263941 0.61020075]	[0.3697599  0.88544698 3.3361877 ]	[0.37104244 0.88718652 3.91537665]
2024-08-06 15:16:54.245623	[0.23391717 0.72884042 0.61112235]	[0.36700459 0.878022   3.64322132]	[0.36847319 0.87884211 2.42370978]
2024-08-06 15:16:54.447692	[0.23654254 0.72162501 0.61355869]	[0.35183931 0.86211677 3.38444244]	[0.36661801 0.87338488 2.02262935]
2024-08-06 15:16:54.548554	[0.23963264 0.71978564 0.61512472]	[0.34995045 0.86088154 3.70244226]	[0.36661801 0.87338488 2.02262935]
2024-08-06 15:16:54.699917	[0.24341941 0.71991541 0.61648888]	[0.34410641 0.85373742 2.94540143]	[0.36494436 0.88232233 2.85443478]
2024-08-06 15:16:54.952617	[0.24473012 0.71420811 0.61838048]	[0.34196009 0.83920196 1.35877942]	[0.36264122 0.88520281 3.83942636]
2024-08-06 15:16:55.103650	[0.24394578 0.71576671 0.61777759]	[0.33562666 0.8436765  1.44971381]	[0.36337628 0.88325094 4.20827796]
2024-08-06 15:16:55.255177	[0.24149366 0.71854419 0.6163839 ]	[0.35917772 0.86310408 1.9054587 ]	[0.3667406  0.8844636  4.61735938]
2024-08-06 15:16:55.406872	[0.2403429  0.72099835 0.61559477]	[0.35276801 0.86240869 2.05982445]	[0.36562779 0.87811713 3.20196933]
2024-08-06 15:16:55.558532	[0.2393915  0.71299096 0.61721733]	[0.33830025 0.84519089 0.98804627]	[0.36162786 0.86866721 1.63334802]
2024-08-06 15:16:55.709810	[0.23971754 0.71108936 0.61782034]	[0.32628476 0.84520747 1.03992689]	[0.36162786 0.86866721 1.63334802]
2024-08-06 15:16:55.861247	[0.24032792 0.70717639 0.61894972]	[0.32628476 0.84520747 1.03992689]	[0.36394559 0.86175064 0.52714799]
2024-08-06 15:16:56.062965	[0.24171845 0.71116006 0.61827743]	[0.31386155 0.81803226 0.54797198]	[0.36046554 0.8803858  1.69815638]
2024-08-06 15:16:56.265288	[0.24124085 0.71161584 0.61786635]	[0.32029318 0.82248267 0.54574392]	[0.36407628 0.88234791 1.82980232]
2024-08-06 15:16:56.467954	[0.24174764 0.7084665  0.61872809]	[0.33450558 0.83196364 0.53998482]	[0.36576473 0.88352677 1.97464053]
2024-08-06 15:16:56.619509	[0.24074812 0.71483608 0.61668258]	[0.32756681 0.82149558 0.55057607]	[0.3640765  0.88418802 2.13611541]
2024-08-06 15:16:56.872747	[0.24134225 0.719442   0.61571533]	[0.32021987 0.82516321 0.55046178]	[0.36146458 0.87367483 0.53432946]
2024-08-06 15:16:57.075245	[0.240526   0.71500292 0.61672767]	[0.31918806 0.82596968 0.55138098]	[0.36220823 0.86800144 0.52922949]
